2017-12-17 19:27:19 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 19:27:19 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 19:27:19 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 19:27:19 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 19:27:20 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@55d8d6] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 19:27:21 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-12-17 19:27:21 INFO  MyLogger:50 - Извлечение всех записей из таблицы subscriptions
2017-12-17 19:27:21 INFO  MyLogger:50 - Извлечение всех записей из таблицы books
2017-12-17 19:27:21 INFO  MyLogger:50 - Извлечение всех записей из таблицы readers
2017-12-17 18:31:08 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 18:31:08 MSK 2017]; root of context hierarchy
2017-12-17 18:31:08 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 18:31:08 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 18:31:08 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 18:31:08 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 18:31:08 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 18:31:08 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 18:31:08 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 18:31:09 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 18:31:09 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 18:31:09 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 18:31:10 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
2017-12-17 18:31:10 INFO  QueryTranslatorFactoryInitiator:47 - HHH000397: Using ASTQueryTranslatorFactory
2017-12-17 18:31:10 INFO  MyLogger:50 - Извлечение всех записей из таблицы subscriptions
2017-12-17 18:31:11 INFO  MyLogger:50 - Извлечение всех записей из таблицы books
2017-12-17 18:31:11 INFO  MyLogger:50 - Извлечение всех записей из таблицы readers
2017-12-17 18:32:45 INFO  AnnotationConfigApplicationContext:589 - Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@324bfa: startup date [Sun Dec 17 18:32:45 MSK 2017]; root of context hierarchy
2017-12-17 18:32:45 INFO  AutowiredAnnotationBeanPostProcessor:154 - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-17 18:32:46 INFO  MyLogger:42 - Настройки логирования загружены!
2017-12-17 18:32:46 INFO  MyLogger:50 - Загрузка настроек...
2017-12-17 18:32:46 INFO  MyLogger:50 - Загрузка настроек завершена
2017-12-17 18:32:46 INFO  DriverManagerDataSource:133 - Loaded JDBC driver: org.sqlite.JDBC
2017-12-17 18:32:46 INFO  Version:45 - HHH000412: Hibernate Core {5.2.12.Final}
2017-12-17 18:32:46 INFO  Environment:213 - HHH000206: hibernate.properties not found
2017-12-17 18:32:46 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {5.0.1.Final}
2017-12-17 18:32:46 INFO  Dialect:157 - HHH000400: Using dialect: com.enigmabridge.hibernate.dialect.SQLiteDialect
2017-12-17 18:32:46 INFO  LobCreatorBuilderImpl:98 - HHH000423: Disabling contextual LOB creation as JDBC driver reported JDBC version [2] less than 4
2017-12-17 18:32:47 INFO  HibernateTransactionManager:378 - Using DataSource [org.springframework.jdbc.datasource.DriverManagerDataSource@2de0c3] of Hibernate SessionFactory for HibernateTransactionManager
